question,expected_report_id,source_chunk_excerpt,mode,template
O que causou a falha no Válvula de retenção?,5,"A análise visual do conector permitiu observar fratura sem deformação significativa típica para ruptura frágil. Foram observadas regiões na fratura com característica de amassamento, que certamente fo",heuristic,metadata.tag.causa
Qual a análise de falha realizada para o cliente PETROBRÁS COMPARTILHADO na unidade PETROBRÁS – UN RECAP?,5,"A análise visual do conector permitiu observar fratura sem deformação significativa típica para ruptura frágil. Foram observadas regiões na fratura com característica de amassamento, que certamente fo",heuristic,metadata.cliente_unidade
Houve indícios de trinca na análise do equipamento Cilindro de Oxigênio?,5,"A análise visual do conector permitiu observar fratura sem deformação significativa típica para ruptura frágil. Foram observadas regiões na fratura com característica de amassamento, que certamente fo",heuristic,content.dano
O que causou a falha no P-UH-B-UB-5420501C-01?,13,"A análise visual das placas 1 e 2 permitiu identificar trinca superficial paralela a canaleta lateral na base da nervura da placa 2, nervuras com danos superficiais típicos de desgaste por atrito entr",heuristic,metadata.tag.causa
"Em qual relatório é descrito: ""A análise visual das placas 1 e 2 permitiu identificar trinca superficial paralela a canaleta lateral na base da nervura da placa 2, nervuras com dano""?",13,"A análise visual das placas 1 e 2 permitiu identificar trinca superficial paralela a canaleta lateral na base da nervura da placa 2, nervuras com danos superficiais típicos de desgaste por atrito entr",heuristic,content.first_sentence
Qual a conclusão da análise de falha do P-UH-B-UB-5420501C-01?,13,"A análise visual das placas 1 e 2 permitiu identificar trinca superficial paralela a canaleta lateral na base da nervura da placa 2, nervuras com danos superficiais típicos de desgaste por atrito entr",heuristic,metadata.tag.conclusao
O que causou a falha no PSV-6311009?,22,A inspeção visual das amostras recebidas permitiu observar fraturas com característica frágil e evidências de envelhecimento na metade da profundidade das fraturas indicando propagação das trincas até,heuristic,metadata.tag.causa
Quais foram os mecanismos de dano identificados na análise de PSV-6311009?,22,A inspeção visual das amostras recebidas permitiu observar fraturas com característica frágil e evidências de envelhecimento na metade da profundidade das fraturas indicando propagação das trincas até,heuristic,metadata.analise_tag
Qual a conclusão da análise de falha do PSV-6311009?,22,A inspeção visual das amostras recebidas permitiu observar fraturas com característica frágil e evidências de envelhecimento na metade da profundidade das fraturas indicando propagação das trincas até,heuristic,metadata.tag.conclusao
Qual a conclusão da análise de falha do Trecho trincado?,116,"As análises metalográficas mostraram microstruturas compostas por ferrita e carbonetos nas regiões de metal base e solda, e martensita nas regiões de ZTA´s. Observado danos superficiais internos com c",heuristic,metadata.tag.conclusao
Houve indícios de corrosão na análise do equipamento Linha de PSA?,116,"As análises metalográficas mostraram microstruturas compostas por ferrita e carbonetos nas regiões de metal base e solda, e martensita nas regiões de ZTA´s. Observado danos superficiais internos com c",heuristic,content.dano
Qual o tipo de equipamento analisado no relatório ISQ-LA-2030523-L-03343?,116,"As análises metalográficas mostraram microstruturas compostas por ferrita e carbonetos nas regiões de metal base e solda, e martensita nas regiões de ZTA´s. Observado danos superficiais internos com c",heuristic,metadata.equipamento
Quais foram os mecanismos de dano identificados na análise de PSV-6311009?,22,"As análises realizadas indicam que a mola da PSV-6311009 falhou durante o teste sob comportamento frágil monotônico, devido a presença de trincas de corrosão sob tensão por cloretos (CST) pré-existent",heuristic,metadata.analise_tag
Qual a conclusão da análise de falha do PSV-6311009?,22,"As análises realizadas indicam que a mola da PSV-6311009 falhou durante o teste sob comportamento frágil monotônico, devido a presença de trincas de corrosão sob tensão por cloretos (CST) pré-existent",heuristic,metadata.tag.conclusao
"Em qual relatório é descrito: ""As análises realizadas indicam que a mola da PSV-6311009 falhou durante o teste sob comportamento frágil monotônico, devido a presença de trincas de c""?",22,"As análises realizadas indicam que a mola da PSV-6311009 falhou durante o teste sob comportamento frágil monotônico, devido a presença de trincas de corrosão sob tensão por cloretos (CST) pré-existent",heuristic,content.first_sentence
Quais foram os mecanismos de dano identificados na análise de Válvula de retenção?,5,Os resultados das análises indicam que o conector roscado do corpo da válvula do cilindro de oxigênio falhou por ruptura frágil monotônica de forma instantânea.  As características observadas na amost,heuristic,metadata.analise_tag
O que causou a falha no Válvula de retenção?,5,Os resultados das análises indicam que o conector roscado do corpo da válvula do cilindro de oxigênio falhou por ruptura frágil monotônica de forma instantânea.  As características observadas na amost,heuristic,metadata.tag.causa
Houve indícios de trinca na análise do equipamento Cilindro de Oxigênio?,5,Os resultados das análises indicam que o conector roscado do corpo da válvula do cilindro de oxigênio falhou por ruptura frágil monotônica de forma instantânea.  As características observadas na amost,heuristic,content.dano
O que causou a falha no P-UH-1223504A?,12,"O equipamento P-UH-1223504A da plataforma P-75 apresentou vazamento em operação resultando em contaminação cruzada, ele foi enviado à empresa Tranter, para realização de inspeção em atendimento a nota",heuristic,metadata.tag.causa
Quais foram os danos observados no equipamento P-UH-1223504A?,12,"O equipamento P-UH-1223504A da plataforma P-75 apresentou vazamento em operação resultando em contaminação cruzada, ele foi enviado à empresa Tranter, para realização de inspeção em atendimento a nota",heuristic,metadata.tag.danos
Qual o tipo de equipamento analisado no relatório ISQ-AF-2030523-L-00986?,12,"O equipamento P-UH-1223504A da plataforma P-75 apresentou vazamento em operação resultando em contaminação cruzada, ele foi enviado à empresa Tranter, para realização de inspeção em atendimento a nota",heuristic,metadata.equipamento
Quais foram os mecanismos de dano identificados na análise de M-B-5124001C?,11,"As análises realizadas indicam que o rolamento falhou em operação devido a nucleação de danos por fadiga de contato, que resultou no desprendimento de partículas na superfície do canal de rolamento da",heuristic,metadata.analise_tag
"Em qual relatório é descrito: ""As análises realizadas indicam que o rolamento falhou em operação devido a nucleação de danos por fadiga de contato, que resultou no desprendimento de""?",11,"As análises realizadas indicam que o rolamento falhou em operação devido a nucleação de danos por fadiga de contato, que resultou no desprendimento de partículas na superfície do canal de rolamento da",heuristic,content.first_sentence
Houve indícios de corrosão na análise do equipamento ROLAMENTO DE MOTOR ELÉTRICO?,11,"As análises realizadas indicam que o rolamento falhou em operação devido a nucleação de danos por fadiga de contato, que resultou no desprendimento de partículas na superfície do canal de rolamento da",heuristic,content.dano
Houve indícios de corrosão na análise do equipamento Caldeira?,134,A inspeção visual realizada no trecho de tubo recebido permitiu observar danos superficiais internos típicos de corrosão alveolar e resíduos aderidos a superfície com corrosão. As análises realizadas ,heuristic,content.dano
O que causou a falha no Tubo?,134,A inspeção visual realizada no trecho de tubo recebido permitiu observar danos superficiais internos típicos de corrosão alveolar e resíduos aderidos a superfície com corrosão. As análises realizadas ,heuristic,metadata.tag.causa
Qual a conclusão da análise de falha do Tubo?,134,A inspeção visual realizada no trecho de tubo recebido permitiu observar danos superficiais internos típicos de corrosão alveolar e resíduos aderidos a superfície com corrosão. As análises realizadas ,heuristic,metadata.tag.conclusao
"Em qual relatório é descrito: ""As análises realizadas indicam que os niples do forno falharam devido a propagação de trincas por corrosão sob tensão por cloretos (CST)""?",3,As análises realizadas indicam que os niples do forno falharam devido a propagação de trincas por corrosão sob tensão por cloretos (CST). Os danos estão associados ao meio de exposição ricos em cloret,heuristic,content.first_sentence
Qual a conclusão da análise de falha do 18-2401?,3,As análises realizadas indicam que os niples do forno falharam devido a propagação de trincas por corrosão sob tensão por cloretos (CST). Os danos estão associados ao meio de exposição ricos em cloret,heuristic,metadata.tag.conclusao
Quais foram os mecanismos de dano identificados na análise de 18-2401?,3,As análises realizadas indicam que os niples do forno falharam devido a propagação de trincas por corrosão sob tensão por cloretos (CST). Os danos estão associados ao meio de exposição ricos em cloret,heuristic,metadata.analise_tag
Qual o tipo de equipamento analisado no relatório ISQ-AF-2030523-L-01785?,7,O tubo falhou em operação devido a redução da parede do tubo por corrosão interna preferencial na região da solda do tubo com o weldolet da linha principal. O processo corrosivo ocorreu provavelmente ,heuristic,metadata.equipamento
O que causou a falha no 2”-PE-66-004-C1?,7,O tubo falhou em operação devido a redução da parede do tubo por corrosão interna preferencial na região da solda do tubo com o weldolet da linha principal. O processo corrosivo ocorreu provavelmente ,heuristic,metadata.tag.causa
Qual a análise de falha realizada para o cliente PETROBRÁS COMPARTILHADO na unidade PETROBRÁS – TRANSPETRO SUAPE-PE?,7,O tubo falhou em operação devido a redução da parede do tubo por corrosão interna preferencial na região da solda do tubo com o weldolet da linha principal. O processo corrosivo ocorreu provavelmente ,heuristic,metadata.cliente_unidade
Qual a conclusão da análise de falha do 0613-E-0003?,20,Os resultados das análises indicam que os tubos do permutador de calor 0613-E-0003 falhou em operação devido a propagação de trincas de corrosão sob tensão por cloretos a partir da superfície externa ,heuristic,metadata.tag.conclusao
O que causou a falha no 0613-E-0003?,20,Os resultados das análises indicam que os tubos do permutador de calor 0613-E-0003 falhou em operação devido a propagação de trincas de corrosão sob tensão por cloretos a partir da superfície externa ,heuristic,metadata.tag.causa
Qual o tipo de equipamento analisado no relatório ISQ-AF-2030523-L-03793?,20,Os resultados das análises indicam que os tubos do permutador de calor 0613-E-0003 falhou em operação devido a propagação de trincas de corrosão sob tensão por cloretos a partir da superfície externa ,heuristic,metadata.equipamento
Qual o tipo de equipamento analisado no relatório ISQ-AF-2030523-L-00647?,10,"A caixa redutora do guindaste falhou em operação. Após a ocorrência da falha o conjunto foi desmontado, e um pino de fixação das engrenagens, duas engrenagens e o eixo principal do pinhão da mesa de g",heuristic,metadata.equipamento
O que causou a falha no GD-526001/2?,10,"A caixa redutora do guindaste falhou em operação. Após a ocorrência da falha o conjunto foi desmontado, e um pino de fixação das engrenagens, duas engrenagens e o eixo principal do pinhão da mesa de g",heuristic,metadata.tag.causa
